Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2019,13.0,46.0,-6,7.0,1,0,0,0,BAL,50.0,50.0,52.0,25.0,52.0,41.0,50.0,62.0,40.0,33.0,50.0,17.0,37.0,61.0,58.0,14.0,1,0,0,100.0,100.0,83.0,50.0,56.0,100.0,100.0,100.0,100.0,91.0,96.0,73.0,100.0,100.0,84.0,41.0,87.0,67.0,100.0,0.0,50.0,83.0,100.0,100.0,91.0,73.0
ATL,2,2019,1.0,53.0,4,5.0,1,1,0,0,PHI,0.0,34.0,52.0,33.0,61.0,41.0,24.0,35.0,59.0,100.0,17.0,33.0,21.0,38.0,57.0,100.0,0,0,0,100.0,55.0,83.0,17.0,31.0,42.0,94.0,97.0,67.0,70.0,36.0,11.0,71.0,51.0,36.0,34.0,89.0,54.0,54.0,50.0,17.0,83.0,42.0,97.0,70.0,11.0
BAL,2,2019,-13.0,46.0,6,-7.0,-1,1,0,0,ARI,100.0,100.0,100.0,100.0,84.0,41.0,87.0,67.0,100.0,0.0,50.0,83.0,100.0,100.0,91.0,73.0,0,0,0,50.0,50.0,17.0,50.0,44.0,37.0,74.0,61.0,26.0,58.0,43.0,14.0,52.0,25.0,52.0,41.0,50.0,62.0,40.0,33.0,50.0,17.0,37.0,61.0,58.0,14.0
BUF,2,2019,-1.0,44.5,14,13.0,1,0,0,0,NYG,100.0,51.0,38.0,46.0,100.0,45.0,65.0,49.0,67.0,100.0,67.0,83.0,44.0,81.0,47.0,81.0,1,0,0,0.0,32.0,83.0,0.0,100.0,53.0,83.0,72.0,43.0,72.0,0.0,0.0,38.0,69.0,15.0,59.0,13.0,19.0,47.0,83.0,0.0,83.0,53.0,72.0,72.0,0.0
CAR,2,2019,-6.5,48.0,-6,-12.5,-1,1,1,0,TAM,0.0,47.0,33.0,36.0,73.0,51.0,58.0,30.0,49.0,83.0,17.0,50.0,43.0,41.0,39.0,72.0,0,1,0,0.0,36.0,50.0,17.0,41.0,41.0,82.0,68.0,0.0,25.0,69.0,80.0,48.0,21.0,84.0,50.0,58.0,54.0,54.0,83.0,17.0,50.0,41.0,68.0,25.0,80.0
CHI,2,2019,-3.0,41.0,2,-1.0,-1,0,0,0,DEN,0.0,43.0,43.0,10.0,93.0,64.0,16.0,89.0,55.0,67.0,83.0,17.0,10.0,89.0,36.0,78.0,1,0,0,0.0,42.0,50.0,0.0,33.0,30.0,75.0,68.0,53.0,49.0,33.0,47.0,38.0,49.0,40.0,43.0,59.0,0.0,49.0,50.0,0.0,50.0,30.0,68.0,49.0,47.0
CIN,2,2019,-1.0,46.0,-24,-25.0,-1,1,0,0,SFO,0.0,49.0,76.0,51.0,75.0,51.0,49.0,62.0,72.0,83.0,67.0,17.0,5.0,79.0,97.0,80.0,0,0,0,100.0,64.0,83.0,50.0,18.0,32.0,59.0,59.0,31.0,20.0,100.0,75.0,52.0,16.0,79.0,50.0,46.0,42.0,46.0,17.0,50.0,83.0,32.0,59.0,20.0,75.0
CLE,2,2019,-6.5,45.5,20,13.5,1,0,0,0,NYJ,0.0,19.0,52.0,39.0,51.0,100.0,0.0,84.0,51.0,100.0,67.0,17.0,33.0,58.0,48.0,61.0,1,0,0,0.0,49.0,33.0,17.0,21.0,19.0,53.0,56.0,35.0,19.0,77.0,53.0,62.0,0.0,54.0,55.0,51.0,35.0,33.0,0.0,17.0,33.0,19.0,56.0,19.0,53.0
DAL,2,2019,-6.0,46.5,10,4.0,1,0,0,0,WAS,100.0,68.0,62.0,85.0,31.0,41.0,81.0,87.0,53.0,17.0,17.0,100.0,28.0,47.0,100.0,28.0,1,0,0,0.0,45.0,83.0,17.0,6.0,3.0,69.0,58.0,64.0,89.0,33.0,30.0,29.0,64.0,49.0,66.0,46.0,11.0,46.0,50.0,17.0,83.0,3.0,58.0,89.0,30.0
DEN,2,2019,3.0,41.0,-2,1.0,1,1,0,0,CHI,0.0,42.0,38.0,49.0,40.0,43.0,59.0,0.0,49.0,50.0,0.0,50.0,30.0,68.0,49.0,47.0,0,0,0,0.0,43.0,17.0,83.0,19.0,10.0,95.0,89.0,15.0,36.0,59.0,78.0,43.0,10.0,93.0,64.0,16.0,89.0,55.0,67.0,83.0,17.0,10.0,89.0,36.0,78.0
