Game,EGO,Spread,Spread Target,Pick
IND @ TEN,-0.41,-1.0,"[-1.0, -3.5]",TEN
HOU @ CLE,-1.67,4.0,"[5.5, 3.0]",HOU
JAX @ GB,-8.73,14.0,"[12.5, 10.0]",
PHI @ NYG,-1.15,-4.0,"[-0.5, -2.5]",
TB @ CAR,3.27,-6.0,"[-5.0, -7.0]",CAR
WAS @ DET,-4.79,3.0,"[3.5, 1.0]",DET
BUF @ ARI,-2.34,2.5,"[6.0, 4.0]",
DEN @ LV,-4.29,3.5,"[3.0, 0.5]",
LAC @ MIA,-3.36,1.5,"[2.0, -0.5]",MIA
CIN @ PIT,-10.14,7.0,"[8.5, 6.5]",PIT
SEA @ LAR,-1.65,2.5,"[5.5, 3.0]",
SF @ NO,-7.07,10.0,"[11.0, 8.5]",SF
BAL @ NE,4.87,-7.0,"[-6.5, -8.5]",NE
MIN @ CHI,-1.23,-3.0,"[-0.5, -2.5]",
