Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NE,12,Sun,November 29,1:00PM,0,preview,,,,,,,8.5%,-2.0
ATL,LV,12,Sun,November 29,1:00PM,1,preview,,,,,,,-2.9%,3.0
BAL,PIT,12,Tue,December 1,8:00PM,0,preview,,,,,,,14.6%,5.0
BUF,LAC,12,Sun,November 29,1:00PM,1,preview,,,,,,,4.9%,-4.5
CAR,MIN,12,Sun,November 29,1:00PM,0,preview,,,,,,,-1.3%,3.0
CHI,GB,12,Sun,November 29,8:20PM,0,preview,,,,,,,0.9%,9.5
CIN,NYG,12,Sun,November 29,1:00PM,1,preview,,,,,,,-21.9%,6.0
CLE,JAX,12,Sun,November 29,1:00PM,0,preview,,,,,,,-6.9%,-7.0
DAL,WAS,12,Thu,November 26,4:30PM,1,boxscore,16,41,338,1,247,2,-18.5%,-2.5
DEN,NO,12,Sun,November 29,4:05PM,1,preview,,,,,,,-22.5%,14.5
DET,HOU,12,Thu,November 26,12:30PM,1,boxscore,25,41,384,1,388,3,-1.1%,3.0
GB,CHI,12,Sun,November 29,8:20PM,1,preview,,,,,,,9.5%,-9.5
HOU,DET,12,Thu,November 26,12:30PM,0,boxscore,41,25,384,1,388,3,-7.2%,-3.0
IND,TEN,12,Sun,November 29,1:00PM,1,preview,,,,,,,18.1%,-3.0
JAX,CLE,12,Sun,November 29,1:00PM,1,preview,,,,,,,-15.4%,7.0
KC,TB,12,Sun,November 29,4:25PM,0,preview,,,,,,,23.8%,-3.5
LAC,BUF,12,Sun,November 29,1:00PM,0,preview,,,,,,,-8.0%,4.5
LAR,SF,12,Sun,November 29,4:05PM,1,preview,,,,,,,11.8%,-6.5
LV,ATL,12,Sun,November 29,1:00PM,0,preview,,,,,,,0.8%,-3.0
MIA,NYJ,12,Sun,November 29,1:00PM,0,preview,,,,,,,3.5%,-7.0
MIN,CAR,12,Sun,November 29,1:00PM,1,preview,,,,,,,2.4%,-3.0
NE,ARI,12,Sun,November 29,1:00PM,1,preview,,,,,,,-12.1%,2.0
NO,DEN,12,Sun,November 29,4:05PM,0,preview,,,,,,,30.1%,-14.5
NYG,CIN,12,Sun,November 29,1:00PM,0,preview,,,,,,,-11.8%,-6.0
NYJ,MIA,12,Sun,November 29,1:00PM,1,preview,,,,,,,-29.6%,7.0
PHI,SEA,12,Mon,November 30,8:15PM,1,preview,,,,,,,-11.3%,5.5
PIT,BAL,12,Tue,December 1,8:00PM,1,preview,,,,,,,20.4%,-5.0
SEA,PHI,12,Mon,November 30,8:15PM,0,preview,,,,,,,13.5%,-5.5
SF,LAR,12,Sun,November 29,4:05PM,0,preview,,,,,,,1.4%,6.5
TB,KC,12,Sun,November 29,4:25PM,1,preview,,,,,,,24.9%,3.5
TEN,IND,12,Sun,November 29,1:00PM,0,preview,,,,,,,3.7%,3.0
WAS,DAL,12,Thu,November 26,4:30PM,0,boxscore,41,16,338,1,247,2,-15.0%,2.5
